,time (h),None,RM,WSM
0,0,1.0,1.0,1.0
1,24,0.9875979145230133,0.9892544153249511,0.994216981426472
2,48,0.9753496407702081,0.9786242982399667,0.988467406156774
3,72,0.9632532711554557,0.9681084079781433,0.982751080787614
4,96,0.9513069217505647,0.9577055171056266,0.977067813034262
5,120,0.9395087319922012,0.9474144113778361,0.971417411723913
6,144,0.927856864391626,0.9372338895980113,0.965799686789264
7,168,0.916349504249063,0.9271627634770093,0.960214449262238
8,192,0.9049848593705733,0.9171998574945489,0.95466151126761
9,216,0.8937611597892826,0.9073440087618942,0.949140686016535
10,240,0.8826766574895344,0.897594066886387,0.943651787800372
11,264,0.8717296261348159,0.8879488938368508,0.938194631984598
12,288,0.8609183607986853,0.8784073638110301,0.932769035002273
13,312,0.8502411776993455,0.8689683631040145,0.927374814348028
14,336,0.8396964139374545,0.8596307899783592,0.922011788572034
15,360,0.8292824272370931,0.8503935545353812,0.916679777273681
16,384,0.8189975956899749,0.8412555785879946,0.911378601095778
17,408,0.808840317502782,0.8322157955349601,0.906108081718102
18,432,0.7988090107478545,0.8232731502361065,0.900868041851915
19,456,0.7889021131167879,0.814426598889589,0.895658305233587
20,480,0.7791180816769183,0.8056751089095974,0.890478696618879
