time (h),None,RM,WSM
0,1.0,1.0,1.0
24,0.987629047,0.989441056,0.993952051
48,0.975411135,0.978993603,0.987940679
72,0.96334437,0.968656464,0.981965664
96,0.951426882,0.958428474,0.976026785
120,0.939656825,0.948308481,0.970123825
144,0.928032375,0.938295344,0.964256565
168,0.91655173,0.928387936,0.95842479
192,0.905213112,0.918585139,0.952628285
216,0.894014763,0.90888585,0.946866838
240,0.882954949,0.899288975,0.941140235
264,0.872031955,0.889793433,0.935448267
288,0.861244089,0.880398153,0.929790723
312,0.850589679,0.871102078,0.924167396
336,0.840067074,0.86190416,0.918578078
360,0.829674644,0.852803362,0.913022564
384,0.819410778,0.843798659,0.90750065
408,0.809273886,0.834889035,0.902012132
432,0.799262397,0.826073489,0.896556808
456,0.78937476,0.817351025,0.891134478
480,0.779609442,0.808720661,0.885744942
