Number_Nodes_ECMWF,Performance_ECMWF_10m,Number_Nodes_Gekko_1MB,Performance_Gekko_1MB_10m
512,1157.0056693277797,512,132.69286908521536
256,1157.0056693277797,256,132.69286908521536
128,1157.0056693277797,128,132.69286908521536
64,1157.0056693277797,64,132.69286908521536
32,1157.0056693277797,32,132.69286908521536
16,1157.0056693277797,16,132.69286908521536
8,1157.0056693277797,8,132.69286908521536
4,1157.0056693277797,4,132.69286908521536
2,1157.0056693277795,2,132.69286908521536
1,1157.0056693277797,1,132.69286908521536
