app,capacity,mttf_capacity
DAE,1920GB,6835.593126859142
DAE,480GB,7095.08
DAE,800GB,4714.332222222222
DAE,960GB,8110.602760356174
DB,1920GB,9535.49133986928
DB,480GB,6945.194975198413
DB,800GB,6224.5325462962965
NAS,1920GB,11625.158878600823
NAS,960GB,5113.323055555556
RM,1920GB,11272.624890899284
RM,480GB,6058.272211474868
RM,800GB,8390.263461432507
RM,960GB,12062.273647280092
SS,1920GB,7286.088931623932
SS,480GB,6798.292954861111
SS,800GB,5963.376453703704
SS,960GB,11983.112666666666
WPS,1920GB,13039.212031391146
WPS,960GB,11098.78423611111
WS,1920GB,8491.711380208333
WS,480GB,4479.244953703704
WS,800GB,8111.498202614378
WS,960GB,13423.950185185187
WSM,1920GB,12593.755478406762
WSM,480GB,12549.465000000002
WSM,800GB,11525.034242424243
WSM,960GB,8030.726737005245
none,1920GB,10384.303705910392
none,480GB,6638.711935370034
none,800GB,7747.614466824645
none,960GB,12278.7789360587
